reportkey,gid,location,kind,category,side,civcas,hn_cas,enemycas,friendlycas,lat,long,timestamp,dist_pak,dist_kabul,elevation,population,lineofsight,gecon,pashtun,hazara,matches
0F5F6193-F947-4EB6-9AC2-D6B45691BF66,1018,0101000020E6100000FF3EE3C2811250402E73BA2C26F64140,Direct Fire,NONE,ENEMY,0,0,0,0,35.92303848,64.28916931,02-08-2004,553.7237134,469.9204823,738.32,132.4217072,28,0.1383386,0,0,TRUE
9B125811-B7AA-4C4B-B1ED-353E99236286,1207,0101000020E6100000975643E21E355040AED85F764F124140,Direct Fire,NONE,ENEMY,0,4,0,0,34.14305115,64.83000946,03-09-2004,369.9054224,401.3025639,2667.76,80.39726257,66,0.1062946,0,0,FALSE
248232C6-35F0-4C73-A838-0BBA2C0DA753,1274,0101000020E61000005A9E0777671150405C2041F163784140,Direct Fire,NONE,ENEMY,0,0,0,0,34.94055176,64.27194214,13-09-2004,472.1060965,450.4333841,1833.52,75.3243866,22,0.1062946,0,0,FALSE
08B6F905-C2FB-4B78-ABF5-A05DBCDE3E12,1454,0101000020E610000045F0BF95EC205040C7D79E5912D03F40,Indirect Fire,NONE,ENEMY,0,0,0,0,31.81278038,64.51444244,07-10-2004,203.6389909,528.3450035,834.76,671.1557617,348,0.0991347,0,0,FALSE
272976E6-4761-4489-BDEB-3F9B7ADCA901,1409,0101000020E61000004C546F0D6C415140B0389CF9D5044140,Indirect Fire,NONE,ENEMY,0,0,0,0,34.03778076,69.0222168,05-10-2004,78.89110165,56.51462197,1917.4,847.5009766,62,3.123417,0,0,FALSE
3783A28F-5DA1-4BBD-8AB1-6BE877019EC0,1912,0101000020E61000005709168733635140EACF7EA488884040,Direct Fire,NONE,ENEMY,0,0,0,0,33.06666946,69.55001831,17-12-2004,0,166.4890713,2395.2,534.8601685,144,0.2478396,0,0,FALSE
0D643AF8-A158-43E2-9D1C-9B25F65A77E8,1920,0101000020E610000043908312663E50408811C2A38D234140,Direct Fire,NONE,ENEMY,0,3,0,0,34.27775955,64.97498322,18-12-2004,376.1168506,386.3587324,2944.4399,80.27809906,368,0.1062946,0,0,FALSE
51D76B3D-5E29-4A9F-B3A2-9F1CCD3C724A,1988,0101000020E6100000CDCCCCCCCC2C51401630815B77F74140,Indirect Fire,NONE,ENEMY,0,3,0,0,35.93333054,68.69999695,24-02-2005,224.64958,161.042369,752.72,2589.068604,34,0.3674473,0,0,FALSE
570F3CE5-E8E8-437B-8225-BD78129CC536,2018,0101000020E6100000B3EA73B5152550400F971C774ACF3F40,Turn In,NONE,ENEMY,0,0,0,0,31.80973053,64.57945251,08-01-2005,198.0516227,523.5819091,828.84,671.1557617,246,0.0991347,0,0,FALSE
D3432F0E-EFB3-4856-804E-FB2309A06CAD,2030,0101000020E6100000EE940ED6FF4F51402D6002B7EECE4140,Direct Fire,NONE,ENEMY,0,0,0,2,35.61666107,69.24999237,10-01-2005,181.2690624,120.4602997,1944.76,234.6383362,13,0.4048173,0,0,FALSE
1BA1BA7E-33BB-4B92-83B8-D365040E8A39,2132,0101000020E6100000DEC83CF2078151406AD95A5F24904040,Indirect Fire,NONE,ENEMY,0,0,0,0,33.12611008,70.01611328,02-02-2005,0,174.7691776,1362.4399,1233.801514,138,0.2478396,0,0,FALSE
00BD61F8-B741-4F46-8B3D-51BF41DB209A,2323,0101000020E61000006D3997E2AA0A4F407E18213CDAB04040,Direct Fire,NONE,ENEMY,0,0,0,0,33.38166046,62.08333969,09-03-2005,406.7985393,666.8549311,1139.3199,171.3833771,149,0.1391841,0,0,FALSE
9E71601D-16FE-41F9-AC63-7ECBA64E6E00,2390,0101000020E6100000CA1AF5108D545140AED85F764F824140,Indirect Fire,NONE,ENEMY,0,0,0,0,35.01805115,69.32111359,18-03-2005,121.9286721,55.64277543,1454.96,4746.705078,46,0.4048173,0,0,FALSE
F51DE015-24FC-4F3C-BEAA-CA56DC99443B,2514,0101000020E61000006536C82423515140D3C1FA3F87794140,Indirect Fire,NONE,ENEMY,0,0,0,0,34.94944,69.26776886,05-04-2005,117.4909327,47.12065737,1484.96,2645.416016,60,3.123417,0,0,FALSE
E1BB65FB-4E55-413A-91A2-F05DFBA16364,2529,0101000020E61000001AA37554352150409FB0C403CACE3F40,Indirect Fire,NONE,ENEMY,0,0,0,0,31.80776978,64.51888275,07-04-2005,203.0084505,528.3327102,834.76,671.1557617,348,0.0991347,0,0,FALSE
326495B6-7848-4561-A81B-DD82DAE717EF,2805,0101000020E6100000C503CAA65C8B5140E223624A24754140,Direct Fire,NONE,FRIEND,0,0,12,2,34.91516876,70.17752838,08-05-2005,84.57041389,101.8765188,2119.04,509.5664673,75,0.6778248,0,0,FALSE
79A59F98-23E8-481B-B3B0-18D230158C49,2838,0101000020E61000004390831266645140183E22A6448A4040,Indirect Fire,NONE,ENEMY,0,0,0,0,33.08021927,69.56873322,25-05-2005,0,165.4024594,2506.6799,544.9106445,266,0.2478396,0,0,FALSE
6DC717C7-ACA7-4481-9039-1D4EAAB8A59E,3107,0101000020E6100000F5673F5244245040D39FFD4811D13F40,Turn In,NONE,ENEMY,7,0,0,0,31.81666946,64.56667328,01-06-2005,199.4823119,524.0994234,828.84,671.1557617,286,0.0991347,0,0,FALSE
07851BB7-70ED-456F-BDD5-1D41D7B84840,3138,0101000020E6100000787AA52C4316504008AC1C5A64933F40,Turn In,NONE,ENEMY,0,1,0,0,31.57575035,64.34784698,03-06-2005,207.6669211,556.7217764,770.6,573.8650513,277,0.0991347,0,0,FALSE
C70222CE-B2B8-488A-A949-8803CC856AFB,3517,0101000020E610000070253B3602195040401361C3D3933F40,IED Explosion,NONE,ENEMY,0,0,0,0,31.5774498,64.39076233,02-07-2005,203.8880532,553.3751356,771.68,543.7085571,300,0.0991347,0,0,FALSE
C9B3CF74-E773-47A8-BC85-D546161FC31D,3584,0101000020E61000002EAD86C43D6451400A117008558A4040,Direct Fire,NONE,ENEMY,0,0,0,0,33.08071899,69.56626892,07-07-2005,0,165.2972093,2506.6799,544.9106445,266,0.2478396,0,0,FALSE
E682A24B-F13A-4703-890A-CCB2B8BB5762,3970,0101000020E6100000AF946588634151406B60AB048BFF4040,Turn In,NONE,ENEMY,0,0,0,0,33.99642944,69.021698,10-08-2005,78.43145029,60.9940668,1969.36,1237.03418,136,0.2478396,0,0,FALSE
DAF1EBF4-BEB1-4AF1-B6CD-000EA43C65D7,4236,0101000020E6100000BB7EC16ED80E5240EEEBC03923664140,Indirect Fire,NONE,ENEMY,0,0,0,0,34.79795074,72.23195648,01-09-2005,0,282.5308033,,,,,0,0,FALSE
217F0EFD-1B8C-442C-926D-F2FA14DBCFE8,4263,0101000020E6100000BA4E232D955F51408FC70C54C67F4040,Indirect Fire,NONE,FRIEND,0,0,0,0,32.99824142,69.49347687,03-09-2005,0,172.9187658,1992.28,1523.787598,146,0.2478396,0,0,FALSE
01118349-05A3-46A0-8CDD-58286BD03017,4758,0101000020E61000004A24D1CB2850514098512CB7B4764140,Mine Strike,NONE,ENEMY,1,0,0,0,34.92739105,69.25248718,02-10-2005,116.0896304,44.45528125,1484.96,2645.416016,60,3.123417,0,0,FALSE
243A3B95-58DC-45CB-BA48-7CAA00617930,4768,0101000020E61000005665DF15C1515140F4328AE5967A4140,Mine Strike,NONE,ENEMY,0,0,0,1,34.95772934,69.27741241,03-10-2005,117.8567393,48.20136551,1484.96,2645.416016,60,3.123417,0,0,FALSE
81A31D52-FF81-4B4E-BACB-0DFDF54D3ACA,5127,0101000020E610000094FB1D8A02015040CFBD874B8E6B3D40,Direct Fire,NONE,ENEMY,0,3,0,0,29.42013931,64.01577759,02-11-2005,0,747.0074677,1557.72,60.85746384,635,0.0415355,0,0,FALSE
358DB640-65B3-40C9-9330-FC79600D55DF,5427,0101000020E61000002861A6ED5F515140DA8F149161794140,Mine Strike,NONE,ENEMY,1,0,0,0,34.94829178,69.27147675,05-12-2005,117.2118333,47.06408895,1484.96,2645.416016,60,3.123417,0,0,FALSE
56CED55C-D935-422B-A2F6-CEA180100679,5443,0101000020E61000003815A930B6005040C3F5285C8FB64040,Direct Fire,NONE,ENEMY,0,0,0,0,33.42625046,64.01112366,06-12-2005,354.4978033,491.85672,1971.36,68.59122467,63,0.0800862,0,0,FALSE
